Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
urban,residential,1932,6213,1,contemporary,low,Furnished,basic,1835,1608,1413,437,112,178,109,13989932
suburban,residential,4095,4576,4,contemporary,low,Non-Furnished,basic,3888,1797,1211,365,132,175,169,27673561
rural,commercial,11532,550,19,traditional,low,Non-Furnished,luxury,10944,1636,1233,599,131,290,196,184092233
suburban,residential,2932,3511,3,contemporary,medium,Furnished,standard,2784,1686,1425,366,163,265,172,21542687
metropolitan,residential,8252,23552,1,contemporary,high,Furnished,luxury,7839,1662,1191,306,69,178,102,242041573
metropolitan,residential,3457,43165,5,traditional,low,Non-Furnished,luxury,3280,1674,1065,349,180,296,172,147954438
metropolitan,commercial,9129,43138,27,contemporary,medium,Non-Furnished,luxury,8667,1781,1069,586,96,294,103,677490926
suburban,commercial,8270,1070,22,modern,medium,Non-Furnished,basic,7854,1523,1153,336,104,180,175,90612677
rural,residential,8241,913,5,contemporary,low,Furnished,standard,7825,1776,1257,461,151,165,171,43384090
metropolitan,commercial,4959,27287,28,modern,low,Furnished,standard,4704,1691,1306,356,178,274,174,197672594
urban,commercial,2046,14262,13,contemporary,medium,Furnished,basic,1937,1630,1427,499,130,164,147,48202521
rural,residential,5040,496,4,contemporary,medium,Furnished,luxury,4788,1797,1258,326,144,253,189,26073418
rural,residential,5425,942,3,modern,low,Furnished,standard,5151,1503,1419,451,94,293,152,24573517
metropolitan,commercial,2658,40361,14,contemporary,high,Furnished,luxury,2520,1562,1334,439,135,217,140,174870149
metropolitan,commercial,5560,31754,20,contemporary,medium,Furnished,basic,5280,1794,1494,394,76,225,187,235937033
metropolitan,commercial,7108,42384,17,modern,medium,Non-Furnished,basic,6749,1649,1134,444,100,298,143,370894194
rural,residential,10956,907,1,modern,medium,Furnished,luxury,10408,1533,1080,351,198,167,103,45934982
metropolitan,residential,5632,32303,2,contemporary,high,Non-Furnished,standard,5350,1669,1211,568,189,212,192,204522759
suburban,residential,2026,1308,2,modern,medium,Furnished,basic,1924,1770,1344,428,63,156,102,8917711
suburban,residential,9998,1188,4,traditional,medium,Furnished,standard,9496,1548,1461,409,187,203,104,55404119
suburban,commercial,10230,4311,17,modern,medium,Furnished,basic,9707,1729,1100,331,172,255,123,130712953
urban,residential,3727,11799,1,modern,medium,Furnished,basic,3540,1740,1036,488,153,207,191,46712554
rural,commercial,3853,715,7,traditional,medium,Furnished,luxury,3654,1676,1082,396,175,226,165,30628012
metropolitan,residential,10233,33465,4,traditional,low,Non-Furnished,basic,9720,1767,1060,433,92,281,137,285562439
metropolitan,commercial,4827,40625,27,contemporary,low,Furnished,standard,4563,1525,1058,407,127,257,132,258099730
rural,residential,12000,916,1,contemporary,high,Furnished,basic,11400,1781,1382,379,81,232,195,51417125
metropolitan,commercial,5023,39083,5,traditional,medium,Furnished,basic,4770,1538,1093,341,195,277,192,218304461
metropolitan,residential,4050,31858,1,traditional,medium,Non-Furnished,standard,3847,1510,1482,349,164,297,148,129798495
suburban,residential,3100,1009,2,traditional,low,Furnished,standard,2944,1753,1291,355,118,210,115,12625743
metropolitan,residential,10992,24249,3,traditional,high,Non-Furnished,standard,10440,1576,1415,567,155,189,163,317614342
rural,residential,4524,280,3,modern,high,Furnished,basic,4296,1653,1432,446,165,186,166,20365470
metropolitan,residential,11558,22687,3,traditional,medium,Non-Furnished,luxury,10980,1753,1439,590,160,287,110,319586815
metropolitan,commercial,8116,39485,6,traditional,low,Non-Furnished,standard,7710,1791,1328,431,89,245,119,364259055
metropolitan,commercial,11728,28067,5,traditional,medium,Furnished,luxury,11140,1652,1246,490,104,280,127,478277834
metropolitan,residential,7572,49442,5,traditional,high,Non-Furnished,standard,7190,1727,1216,410,60,222,170,409389129
rural,commercial,11938,315,22,traditional,medium,Non-Furnished,luxury,11330,1780,1224,513,125,217,183,207653448
rural,residential,8962,302,5,modern,low,Furnished,luxury,8510,1570,1186,468,67,210,118,44673984
urban,residential,6620,16554,4,modern,high,Non-Furnished,standard,6288,1721,1483,581,148,198,107,145724047
metropolitan,commercial,8863,46383,5,modern,medium,Non-Furnished,basic,8415,1542,1070,505,106,199,150,453567716
rural,commercial,5383,502,25,traditional,high,Non-Furnished,basic,5100,1642,1160,510,169,167,179,92177278
rural,commercial,4952,954,27,traditional,medium,Non-Furnished,luxury,4698,1765,1484,392,83,272,151,87227484
rural,residential,4940,954,2,modern,medium,Furnished,standard,4692,1538,1170,314,107,170,110,20330494
urban,residential,8642,13744,2,modern,low,Furnished,luxury,8208,1634,1003,414,127,280,104,135491585
suburban,commercial,11101,3296,24,modern,low,Non-Furnished,luxury,10536,1628,1246,556,68,198,185,231100479
rural,residential,7552,234,3,contemporary,high,Non-Furnished,basic,7173,1780,1409,598,147,212,125,36514925
suburban,commercial,4333,1761,8,modern,high,Furnished,standard,4112,1748,1299,309,167,284,116,39719158
rural,commercial,5917,495,16,modern,high,Non-Furnished,standard,5616,1755,1215,339,51,211,151,63390721
urban,residential,9810,17455,4,modern,low,Non-Furnished,luxury,9316,1750,1305,439,134,287,101,196835958
metropolitan,commercial,7785,41978,20,modern,low,Non-Furnished,standard,7380,1787,1067,462,54,264,119,415084734
urban,residential,2005,15192,4,traditional,high,Furnished,standard,1904,1671,1145,530,76,286,118,40450716
metropolitan,residential,3404,22655,1,modern,medium,Non-Furnished,basic,3233,1695,1028,447,51,225,127,71821994
rural,commercial,8638,758,27,traditional,medium,Non-Furnished,basic,8181,1597,1102,432,174,209,184,127403034
urban,commercial,10705,13872,27,traditional,high,Non-Furnished,luxury,10152,1756,1023,330,192,241,100,362800656
suburban,residential,10516,3349,2,traditional,medium,Furnished,basic,9990,1663,1314,317,148,285,169,63348290
metropolitan,commercial,10484,45405,13,modern,medium,Furnished,luxury,9958,1579,1409,446,68,185,131,687638067
urban,residential,1228,8258,1,modern,high,Furnished,basic,1166,1656,1267,302,55,190,108,12780587
urban,commercial,6656,5409,17,modern,medium,Furnished,basic,6307,1606,1087,593,140,171,160,118783393
metropolitan,residential,4140,48250,1,modern,low,Non-Furnished,standard,3933,1712,1488,388,132,274,123,174917199
rural,residential,9153,888,1,contemporary,low,Non-Furnished,basic,8695,1644,1497,309,119,165,178,30722030
metropolitan,residential,10220,37096,4,traditional,low,Non-Furnished,standard,9708,1642,1144,535,199,189,154,350085615
rural,commercial,10321,795,22,contemporary,low,Furnished,luxury,9790,1518,1223,521,68,216,167,165636748
metropolitan,commercial,6627,32148,17,contemporary,medium,Furnished,standard,6290,1588,1114,327,147,266,199,295980119
metropolitan,commercial,10380,45926,10,modern,low,Non-Furnished,basic,9860,1545,1377,434,83,206,194,492792123
rural,residential,1903,375,1,traditional,high,Non-Furnished,standard,1807,1705,1038,579,135,285,191,7742350
metropolitan,commercial,7290,40198,22,traditional,high,Furnished,luxury,6908,1728,1066,580,193,248,147,539236331
rural,residential,3560,698,5,traditional,low,Furnished,standard,3380,1708,1076,532,167,221,173,18680660
suburban,residential,8198,1069,5,modern,low,Furnished,standard,7785,1728,1110,540,116,236,161,45783222
metropolitan,commercial,11932,45985,4,modern,low,Non-Furnished,basic,11332,1579,1165,378,193,213,177,537743952
metropolitan,commercial,8750,38088,7,traditional,low,Furnished,basic,8309,1699,1111,304,154,227,109,337336046
metropolitan,residential,10184,47170,5,contemporary,medium,Furnished,basic,9670,1524,1071,522,166,287,184,435232566
rural,commercial,3687,613,7,traditional,high,Furnished,basic,3500,1684,1121,389,66,209,152,25326056
suburban,residential,8053,3082,3,modern,low,Furnished,standard,7650,1679,1228,592,152,230,127,52809957
metropolitan,commercial,7332,26750,16,traditional,low,Furnished,standard,6960,1711,1311,302,156,279,132,252740843
suburban,residential,9416,4393,5,modern,medium,Furnished,luxury,8945,1551,1038,311,122,289,140,83304980
rural,commercial,3343,857,20,modern,medium,Non-Furnished,luxury,3160,1689,1154,416,179,278,140,48432126
metropolitan,commercial,10225,43397,15,traditional,medium,Non-Furnished,luxury,9705,1737,1264,558,144,215,161,676555140
urban,commercial,10140,13052,2,modern,low,Non-Furnished,luxury,9632,1588,1205,395,165,260,193,188191517
urban,commercial,1674,10080,2,contemporary,high,Non-Furnished,basic,1590,1748,1221,547,132,191,150,26229827
suburban,residential,11527,2538,4,traditional,medium,Non-Furnished,luxury,10948,1656,1485,357,122,252,121,83849235
suburban,residential,1920,2802,4,contemporary,medium,Furnished,basic,1824,1651,1314,308,139,299,171,11522084
suburban,residential,11568,4241,5,modern,low,Furnished,basic,10985,1755,1394,478,168,228,194,85203803
metropolitan,residential,5492,47607,1,traditional,low,Non-Furnished,luxury,5217,1779,1492,511,99,188,162,252625915
metropolitan,residential,2358,26096,3,contemporary,low,Furnished,standard,2238,1546,1382,392,135,185,195,58313390
urban,commercial,7178,9895,7,contemporary,high,Non-Furnished,luxury,6818,1787,1156,419,93,150,143,151362151
urban,commercial,10105,8407,30,contemporary,medium,Furnished,basic,9570,1579,1104,467,133,181,167,247217450
rural,residential,6362,396,3,modern,high,Non-Furnished,standard,6042,1729,1448,400,182,287,174,32521689
metropolitan,residential,9520,27601,2,contemporary,medium,Furnished,standard,9044,1556,1200,442,145,151,100,269936240
metropolitan,commercial,6578,22059,21,modern,medium,Furnished,basic,6237,1530,1043,521,168,293,153,231218885
urban,commercial,1758,9353,3,modern,low,Non-Furnished,standard,1668,1612,1308,324,77,155,169,23367264
suburban,residential,1441,4487,5,modern,low,Non-Furnished,luxury,1365,1792,1370,594,190,249,118,13896259
metropolitan,commercial,8551,25527,8,modern,high,Non-Furnished,basic,8120,1555,1037,451,177,258,183,297997811
urban,residential,11229,11275,5,modern,low,Non-Furnished,basic,10665,1563,1424,422,71,256,115,135361018
metropolitan,residential,11415,35691,2,traditional,low,Non-Furnished,basic,10844,1799,1493,322,63,162,107,330743622
metropolitan,residential,6216,34719,1,modern,medium,Non-Furnished,standard,5905,1768,1444,362,178,260,173,216473156
suburban,residential,1839,1795,5,traditional,low,Furnished,basic,1745,1701,1301,546,128,204,183,10419903
metropolitan,commercial,4587,34327,22,contemporary,medium,Furnished,luxury,4356,1735,1212,581,137,160,123,276067135
urban,commercial,7010,5800,5,traditional,low,Non-Furnished,basic,6655,1666,1111,555,61,213,167,71762400
suburban,residential,1509,3233,1,contemporary,high,Furnished,standard,1433,1694,1096,454,104,169,162,10105272
rural,commercial,6746,708,10,traditional,low,Non-Furnished,basic,6400,1616,1375,464,194,267,145,51226233
urban,commercial,9853,7613,11,traditional,low,Non-Furnished,standard,9350,1752,1209,508,176,161,111,157541509
suburban,residential,4026,3139,2,modern,medium,Non-Furnished,luxury,3824,1731,1402,516,144,181,161,30118807
urban,residential,2566,6869,1,contemporary,low,Non-Furnished,luxury,2437,1520,1053,506,115,162,164,23347846
metropolitan,commercial,4288,30804,28,modern,low,Non-Furnished,standard,4060,1517,1202,312,54,227,108,178372449
rural,commercial,4327,584,5,contemporary,high,Non-Furnished,standard,4110,1648,1119,510,95,282,144,32090588
suburban,residential,4540,4063,4,traditional,medium,Non-Furnished,luxury,4312,1728,1064,417,127,216,176,39516313
rural,residential,9312,548,3,contemporary,low,Non-Furnished,standard,8844,1747,1183,529,185,247,177,40854229
metropolitan,residential,10593,24003,3,contemporary,medium,Furnished,basic,10062,1754,1241,402,73,263,176,244921303
metropolitan,residential,11623,34757,5,contemporary,medium,Non-Furnished,basic,11040,1651,1060,536,147,298,197,381173793
suburban,commercial,4951,4436,15,modern,low,Furnished,standard,4695,1714,1112,479,123,185,100,70633405
metropolitan,commercial,2898,40613,22,contemporary,high,Furnished,luxury,2750,1586,1404,577,197,294,120,216519825
suburban,commercial,6818,1181,21,contemporary,low,Non-Furnished,standard,6468,1576,1500,410,101,172,105,85221189
rural,commercial,9727,239,25,contemporary,high,Furnished,standard,9225,1544,1297,406,63,178,166,153051934
rural,residential,4328,562,3,contemporary,low,Furnished,basic,4110,1723,1445,463,167,242,106,17245045
metropolitan,residential,10702,41559,3,contemporary,medium,Furnished,basic,10164,1555,1499,478,130,262,182,402726030
rural,commercial,3796,744,20,traditional,low,Furnished,luxury,3600,1613,1008,425,167,221,128,48966790
urban,residential,4035,19457,1,traditional,low,Furnished,standard,3833,1729,1381,377,106,246,126,76161644
suburban,residential,11863,2339,5,modern,high,Non-Furnished,luxury,11265,1637,1069,307,108,281,190,89346848
urban,commercial,2578,6864,24,modern,low,Furnished,standard,2448,1700,1364,343,107,227,188,46282696
rural,residential,2982,733,3,modern,medium,Non-Furnished,luxury,2832,1740,1061,577,143,198,146,16235617
urban,residential,2770,13070,3,contemporary,low,Non-Furnished,standard,2631,1591,1364,509,139,293,195,40212999
rural,commercial,1464,869,4,modern,medium,Furnished,basic,1388,1628,1272,360,64,280,163,8012411
rural,residential,8073,575,3,contemporary,low,Furnished,standard,7668,1782,1024,389,57,173,148,30986532
rural,residential,10598,785,1,contemporary,medium,Furnished,standard,10068,1747,1435,454,61,164,194,44720824
metropolitan,residential,3501,34451,5,modern,low,Furnished,basic,3325,1736,1483,520,125,172,110,103164221
rural,residential,4417,393,4,traditional,high,Furnished,basic,4196,1627,1467,330,73,252,155,20093671
suburban,residential,4394,4674,2,modern,low,Furnished,basic,4174,1728,1494,460,80,246,143,29196311
rural,residential,9368,604,1,traditional,high,Furnished,standard,8899,1743,1407,415,118,195,107,41525885
suburban,residential,6121,4012,4,traditional,low,Furnished,basic,5812,1621,1171,316,102,213,105,37030575
urban,residential,8383,16098,1,modern,medium,Non-Furnished,luxury,7963,1524,1324,551,127,229,115,164108679
urban,residential,7116,14413,2,modern,low,Furnished,standard,6760,1793,1039,360,104,224,106,105096835
suburban,residential,7160,4860,2,contemporary,low,Non-Furnished,luxury,6802,1579,1083,324,189,256,118,54477294
rural,residential,1276,808,5,contemporary,high,Non-Furnished,luxury,1210,1764,1032,526,81,264,129,8897137
metropolitan,residential,11704,25443,4,contemporary,low,Furnished,standard,11116,1551,1314,525,140,297,182,291999425
rural,residential,10134,694,2,contemporary,low,Non-Furnished,basic,9626,1651,1418,409,188,261,167,36726198
rural,residential,2066,837,3,contemporary,low,Non-Furnished,standard,1962,1711,1190,600,118,214,119,9588347
suburban,residential,3178,2679,2,contemporary,medium,Non-Furnished,standard,3018,1779,1027,527,154,168,103,19301392
rural,commercial,8596,289,4,traditional,low,Non-Furnished,standard,8164,1766,1146,431,92,283,195,44536167
rural,commercial,4818,820,6,traditional,high,Non-Furnished,basic,4572,1546,1256,414,115,231,115,32916160
urban,residential,3303,7724,1,traditional,low,Furnished,basic,3137,1534,1186,526,127,257,141,27342937
suburban,commercial,4780,1467,2,modern,low,Non-Furnished,basic,4540,1521,1184,445,114,284,145,22986712
suburban,commercial,9320,2167,25,contemporary,medium,Non-Furnished,basic,8850,1771,1321,469,181,258,149,154965383
metropolitan,commercial,11188,38993,9,contemporary,high,Furnished,luxury,10620,1542,1380,546,52,194,168,697963201
rural,commercial,4478,505,21,contemporary,high,Non-Furnished,basic,4242,1792,1431,503,115,204,181,68457373
metropolitan,residential,6106,46766,5,contemporary,medium,Non-Furnished,standard,5800,1743,1027,391,156,293,197,285034496
suburban,residential,1645,2903,5,contemporary,medium,Furnished,luxury,1560,1763,1218,345,182,274,148,12996528
metropolitan,commercial,5143,25261,19,traditional,medium,Non-Furnished,standard,4883,1707,1161,482,188,220,129,210388697
rural,commercial,7263,354,3,contemporary,medium,Non-Furnished,luxury,6897,1586,1139,410,83,273,188,40656852
suburban,residential,11896,3549,5,traditional,high,Furnished,luxury,11300,1755,1455,479,146,288,172,123344963
rural,residential,3657,222,2,modern,medium,Non-Furnished,standard,3474,1635,1442,492,133,230,167,15084889
